,Connection Date,HOST TO,Connection Cap (MW),Project Name,Plant Type,MW Change
361,2030-12-30,NGET,249.0,1,1,249.0
362,2030-12-31,NGET,1880.0,3,3,1020.0
363,2031-01-31,NGET,49.9,1,1,49.9
364,2031-02-24,NGET,200.0,1,1,200.0
365,2031-03-31,NGET,249.0,1,1,249.0
366,2031-03-31,SHET,45.0,1,1,45.0
367,2031-04-30,NGET,400.0,1,1,400.0
368,2031-04-30,SHET,138.0,1,1,138.0
369,2031-04-30,SPT,345.2,2,2,345.2
370,2031-05-22,SPT,200.0,1,1,200.0
371,2031-05-30,NGET,200.0,1,1,200.0
372,2031-06-30,SHET,50.0,1,1,50.0
373,2031-06-30,SPT,743.0,5,2,693.0
374,2031-07-17,SPT,60.0,1,1,60.0
375,2031-07-31,SHET,800.0,2,1,800.0
376,2031-07-31,SPT,49.9,1,1,49.9
377,2031-08-15,SHET,300.0,1,1,300.0
378,2031-09-30,NGET,1000.0,1,1,1000.0
379,2031-09-30,SPT,92.4,1,1,92.4
380,2031-10-04,NGET,400.0,1,1,400.0
381,2031-10-10,SPT,220.0,1,1,220.0
382,2031-10-21,NGET,400.0,1,1,400.0
383,2031-10-22,NGET,649.0,2,2,649.0
384,2031-10-30,NGET,3523.0,7,2,3523.0
385,2031-10-30,SPT,970.0,4,3,970.0
386,2031-10-31,NGET,30069.9,50,7,28550.9
387,2031-10-31,SHET,4794.0,13,5,4014.0
388,2031-10-31,SPT,6589.0,26,5,6589.0
389,2031-11-01,NGET,150.0,1,1,150.0
390,2031-11-24,NGET,400.0,1,1,400.0
391,2031-11-28,NGET,929.99,1,1,530.03
392,2031-11-30,NGET,2360.0,2,2,2360.0
393,2031-11-30,SHET,104.0,1,1,104.0
394,2032-03-31,NGET,180.0,1,1,80.0
395,2032-04-16,NGET,237.5,1,1,237.5
396,2032-05-01,NGET,260.0,2,1,260.0
397,2032-05-31,NGET,160.0,1,1,160.0
398,2032-06-01,NGET,1400.0,1,1,1400.0
399,2032-06-15,SPT,330.0,1,1,216.0
400,2032-06-16,NGET,550.0,1,1,550.0
401,2032-06-30,SHET,394.65999999999997,3,2,394.65999999999997
402,2032-06-30,SPT,599.9,2,1,599.9
403,2032-07-01,NGET,907.0,2,1,907.0
404,2032-07-30,NGET,50.0,1,1,50.0
405,2032-07-31,NGET,600.0,1,1,600.0
406,2032-07-31,SHET,500.0,1,1,500.0
407,2032-08-30,NGET,1800.0,1,1,1800.0
408,2032-08-31,NGET,1025.0,1,1,625.0
409,2032-10-01,SHET,50.0,1,1,50.0
410,2032-10-25,NGET,400.0,1,1,400.0
411,2032-10-29,NGET,2890.0,6,3,2890.0
412,2032-10-30,NGET,4775.0,7,4,4375.0
413,2032-10-30,SPT,144.0,2,2,144.0
414,2032-10-31,NGET,12186.4,26,7,10624.5
415,2032-10-31,SHET,819.2,5,4,819.2
416,2032-10-31,SPT,100.0,1,1,100.0
417,2032-11-30,NGET,590.0,1,1,250.0
418,2033-01-01,NGET,1500.0,1,1,1500.0
419,2033-03-30,NGET,900.0,2,1,900.0
420,2033-03-31,NGET,249.0,1,1,249.0
421,2033-04-01,NGET,1557.0,2,2,1507.005
422,2033-04-04,NGET,900.0,2,1,900.0
423,2033-05-30,NGET,489.9,2,1,489.9
424,2033-05-30,SPT,1102.9,3,1,1102.9
425,2033-05-31,NGET,1320.0,3,2,1320.0
426,2033-06-30,NGET,3646.8,7,3,3646.8
427,2033-07-01,NGET,165.0,1,1,165.0
428,2033-07-30,NGET,729.0,2,1,729.0
429,2033-08-30,NGET,249.9,1,1,249.9
430,2033-09-30,NGET,600.0,1,1,600.0
431,2033-10-01,NGET,850.0,1,1,850.0
432,2033-10-25,SPT,800.0,1,1,800.0
433,2033-10-28,NGET,2381.9,6,3,1581.9
434,2033-10-28,SPT,400.0,1,1,400.0
435,2033-10-30,NGET,7717.9,16,6,7717.9
436,2033-10-30,SPT,450.0,1,1,450.0
437,2033-10-31,NGET,25367.1,52,10,24517.1
438,2033-10-31,SHET,32205.3,50,8,30730.3
439,2033-10-31,SPT,6547.0,12,3,6547.0
440,2033-11-01,NGET,1150.0,2,2,1150.0
441,2033-11-17,NGET,249.0,1,1,249.0
442,2033-11-30,NGET,249.9,1,1,249.9
443,2034-04-30,SHET,181.39999999999998,2,1,131.39999999999998
444,2034-05-30,NGET,400.0,1,1,400.0
445,2034-06-01,NGET,1820.0,1,1,600.0
